State,Atmospheric Condition,Crash Date,Fatalities in crash,Roadway,Age,Alcohol Results,Person Type,Drug Involvement,Race,Gender,Injury Severity,Crash Date.year,Crash Date.month,Crash Date.day-of-month,Crash Date.day-of-week,Alcohol Results Cleaned,Race Cleaned,Gender Cleaned,Drug Involvment Clean,Age Cleaned,Roadway Category,Alcohol Category
Alaska,Clear,1/5/2011,1,Rural-Principal Arterial-Interstate,27,0,Driver of a Motor Vehicle In-Transport,Yes,,Male,Non-incapacitating Evident Injury (B),2011,1,5,3,0,Unknown,Male,Yes,27,Rural,0
Alaska,Clear,1/5/2011,1,Rural-Principal Arterial-Interstate,60,0,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),2011,1,5,3,0,White,Female,No,60,Rural,0
Arizona,Clear,1/1/2011,1,Urban-Other Principal Arterial,24,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,1,6,0,Unknown,Female,Unknown,24,Urban,0
Arizona,Clear,1/1/2011,1,Urban-Other Principal Arterial,27,0,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,1,6,0,Unknown,Male,No,27,Urban,0
Arizona,Clear,1/1/2011,1,Urban-Other Principal Arterial,82,0,Pedestrian,No,Unknown,Female,Fatal Injury (K),2011,1,1,6,0,Unknown,Female,No,82,Urban,0
Arkansas,Clear,1/2/2011,1,Rural-Minor Arterial,40,0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,2,7,0,White,Male,Unknown,40,Rural,0
Colorado,Clear,1/2/2011,1,Rural-Local Road or Street,17,0,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),2011,1,2,7,0,White,Female,No,17,Rural,0
Connecticut,Clear,1/1/2011,1,Urban-Local Road or Street,22,0.21,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,1,6,0.21,White,Male,Unknown,22,Urban,1
Delaware,Cloudy,1/4/2011,1,Urban-Other Principal Arterial,4,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Non-incapacitating Evident Injury (B),2011,1,4,2,0,Unknown,Female,Unknown,4,Urban,0
Delaware,Cloudy,1/4/2011,1,Urban-Other Principal Arterial,20,0.21,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),2011,1,4,2,0.21,White,Male,Yes,20,Urban,1
District of Columbia,Clear,1/14/2011,2,Urban-Local Road or Street,20,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,14,5,0,Unknown,Male,Unknown,20,Urban,0
District of Columbia,Clear,1/14/2011,2,Urban-Local Road or Street,31,0.1,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,14,5,0.1,White,Male,No,31,Urban,1
Florida,Rain,1/1/2011,1,Urban-Minor Arterial,5,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6,0,Unknown,Male,Unknown,5,Urban,0
Florida,Rain,1/1/2011,1,Urban-Minor Arterial,70,,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,1,6,0,White,Female,Unknown,70,Urban,0
Georgia,"Fog, Smog, Smoke",1/1/2011,1,Urban-Local Road or Street,23,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,1,1,6,0,Unknown,Male,Unknown,23,Urban,0
Georgia,"Fog, Smog, Smoke",1/1/2011,1,Urban-Local Road or Street,24,0.03,Driver of a Motor Vehicle In-Transport,Unknown,Black,Male,Fatal Injury (K),2011,1,1,6,0.03,Black,Male,Unknown,24,Urban,1
Hawaii,Clear,1/1/2011,2,Rural-Minor Arterial,0,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,1,6,0,Unknown,Female,Unknown,0,Rural,0
Hawaii,Clear,1/1/2011,2,Rural-Minor Arterial,19,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Non-incapacitating Evident Injury (B),2011,1,1,6,0,Unknown,Female,Unknown,19,Rural,0
Hawaii,Clear,1/1/2011,2,Rural-Minor Arterial,26,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6,0,Unknown,Male,Unknown,26,Rural,0
Idaho,Clear,1/2/2011,1,Rural-Principal Arterial-Interstate,22,0,Driver of a Motor Vehicle In-Transport,No,,Female,Non-incapacitating Evident Injury (B),2011,1,2,7,0,Unknown,Female,No,22,Rural,0
Idaho,Clear,1/2/2011,1,Rural-Principal Arterial-Interstate,23,,Passenger of a Motor Vehicle In-Transport,Not Reported,Black,Female,Fatal Injury (K),2011,1,2,7,0,Black,Female,Unknown,23,Rural,0
Idaho,Clear,1/2/2011,1,Rural-Principal Arterial-Interstate,25,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,2,7,0,Unknown,Male,Unknown,25,Rural,0
Illinois,Clear,1/1/2011,1,Urban-Minor Arterial,27,0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,1,6,0,White,Male,Unknown,27,Urban,0
Indiana,Rain,1/1/2011,1,Rural-Local Road or Street,25,0.09,Driver of a Motor Vehicle In-Transport,Yes,Black,Male,Fatal Injury (K),2011,1,1,6,0.09,Black,Male,Yes,25,Rural,1
Kansas,Clear,1/2/2011,2,Rural-Principal Arterial-Other,25,,Driver of a Motor Vehicle In-Transport,No,,Female,Non-incapacitating Evident Injury (B),2011,1,2,7,0,Unknown,Female,No,25,Rural,0
